Arquivo|indicacao|indication|ATC_1|ATC_2|ATC_3|ATC_4
bula44|Filinar G acebrofilina é indicado como broncodilatador, mucolítico e expectorante. É utilizado no tratamento sintomático e preventivo das patologias agudas e crônicas do aparelho respiratório caracterizadas por fenômenos de hipersecreção e broncoespasmo, tais como bronquite obstrutiva ou asmatiforme, asma brônquica, traqueo-bronquite, broncopneumonias, bronquiectasias, pneumoconioses, rinofaringites, laringotraqueítes e enfisema pulmonar.|Filinar G Acebrophylline is indicated as Bronchodilator, Mucolytic and expectorant. It is used in the symptomatic and preventive treatment of acute and chronic diseases of the respiratory tract characterized by phenomena of hypersecretion and bronchospasm, such as obstructive bronchitis or Asthmatiform, bronchial asthma, Tracheo-BronchitisBronchopneumonia Bronchiectasis, Pneumoconiosis, Nasopharyngitis, Laryngotracheitis and pulmonary emphysema.|R|R05|R05C|R05C0
bula4804|Previaner é indicado para contracepção oral.|Previaner is indicated for oral contraception.|G|G03|G03A|G03A1
bula3862|Atak amoxicilina tri-hidratada é um antibiótico de amplo espectro indicado para tratamento de infecções bacterianas causadas por germes sensíveis à ação da amoxicilina.|Atak amoxicillin Tri-Hydrate is a broad-spectrum antibiotic indicated for the treatment of bacterial infections caused by germs susceptible to the action of amoxicillin.|J|J01|J01C|J01C1
bula1371|Lidocaína é indicada para o alívio temporário da dor associada a pequenos cortes e abrasões da pele que comprometem somente a epiderme, não atingindo a derme pequenas queimaduras de 1 grau incluindo as provocadas pela luz do sol pequenas irritações e picadas de insetos. Pode ser aplicada antes de procedimentos como venopunção, injeções intradérmicas, subcutâneas ou intramusculares em adultos e crianças, bem como antes de tratamentos a LASER sobre a pele.|Lidocaine is indicated for the temporary relief of pain associated with small cuts and abrasions of the skin that compromise only the epidermis, not reaching the dermis small burns of 1 degree including those caused by sunshine small irritations and bites of Insects. It Can be applied before procedures such as venopunction, intradermal, subcutaneous or intramuscular injections in adults and children, as well as before LASER treatments on the skin.|N|N01|N01B|N01B3
bula3410|KEFORALr é indicado para o tratamento de infecções causadas por cepas suscetíveis dos microrganismos descritos no item Microbiologia. Infecções do Trato Respiratório causadas por Streptococcus pneumoniae ou Streptococcus pyogenes. A penicilina é o antibiótico de escolha no tratamento e prevenção de infecções estreptocócicas, incluindo a profilaxia da febre reumática. KEFORALr é geralmente eficaz na erradicação de estreptococos da nasofaringe, contudo, dados substanciais estabelecendo a eficácia da cefalexina na prevenção da febre reumática não estão disponíveis até o momento. KEFORALr tem sido utilizado como alternativa à amoxicilina ou ampicilina na prevenção de endocardite estreptocócica alfa-hemolítica grupo Viridans em pacientes alérgicos à penicilina com alto risco de endocardite bacteriana após procedimentos dentários ou do trato respiratório superior ver 8. POSOLOGIA E MODO DE USAR. KEFORALr não deve ser utilizado para profilaxia em pacientes com histórico de reações de hipersensibilidade do tipo imediata anafilaxia, angioedema ou urticária à penicilina. Otite Média devida a Streptococcus pneumoniae, Haemophilus influenzae, estafilococos, estreptococos ou Moraxella catarrhalis. Infecções da Pele e Tecidos Moles causadas por estafilococos e/ou estreptococos. Infecções Ósseas causadas por estafilococos e/ou Proteus mirabilis. Infecções do Trato Geniturinário incluindo prostatite aguda, causadas por Escherichia coli, Proteus mirabilis ou Klebsiella pneumoniae. NOTA deverão ser realizados testes de suscetibilidade à cefalexina antes e durante a terapia. Caso o patógeno não seja suscetível à cefalexina, terapia apropriada deve ser aplicada. Estudos da função renal devem ser efetuados quando indicado.|KEFORALr is indicated for the treatment of infections caused by susceptible strains of microorganisms described in the item Microbiology. Respiratory Tract Infections caused by Streptococcus Pneumoniae or Streptococcus Pyogenes. Penicillin is the antibiotic of choice in the treatment and prevention of streptococcal infections, including the prophylaxis of rheumatic fever. KEFORALr Method is generally effective in eradicating nasopharynx streptococci, however, substantial data establishing the efficacy of Cephalexin In the prevention of rheumatic fever are not available so far. KEFORALr Method has been used as an alternative to amoxicillin or ampicillin in the prevention of streptococcal endocarditis Alfa-hemolytic Group Viridans In patients allergic to penicillin with high risk of bacterial endocarditis after dental procedures or upper respiratory tract see 8. POSOLOGY AND MODE OF USE. KEFORALr Method Should not be used for prophylaxis in patients with a history of immediate anaphylaxis-type hypersensitivity reactions, angioedema or urticaria to penicillin. Otitis Media due to Streptococcus Pneumoniae, Haemophilus Influenzae, Staphylococci, Streptococci or Moraxella Catarrhalis. Skin and Soft Tissue Infections caused by staphylococci and/or streptococci. Bone Infections caused by staphylococci and/or Proteus Mirabilis. Genitourinary Tract Infections including acute prostatitis caused by Escherichia coli, Proteus Mirabilis Or Klebsiella Pneumoniae. NOTE tests for susceptibility to the Cephalexin Before and during therapy. If the pathogen is not susceptible to Cephalexin, appropriate therapy should be applied. Renal function Studies should be performed when indicated.|J|J01|J01D|J01D1
bula5508|A dexametasona  sulfato de neomicina  sulfato de polimixina B é indicada nas condições inflamatórias oculares que respondam aos esteroides e onde exista infecção bacteriana ocular ou risco de infecção. Os esteroides oculares são indicados nas condições inflamatórias das pálpebras e conjuntiva bulbar, córnea e segmento anterior do globo, onde se aceita o risco inerente ao uso de esteroides em certas conjuntivites infectadas para se obter diminuição do edema e inflamação. Também são indicados na uveíte anterior crônica e traumas corneanos causados por queimaduras químicas, por radiação ou térmicas, e também em casos de penetração de corpo estranho. O uso da combinação com antiinfeccioso é indicado onde o risco de infecção é grande ou quando se suspeita que um número de bactérias potencialmente perigoso esteja presente no olho. A dexametasona  sulfato de neomicina  sulfato de polimixina B é ativa contra Staphylococcus aureus, Escherichia coli, Haemophilus influenzae, Klebsiella / Enterobacter sp, Neisseria sp e Pseudomonas aeruginosa. Este produto não dá cobertura adequada contra Serratia marcescens e Streptococci, inclusive Streptococcus pneumoniae.|The dexamethasone sulfate of neomycin sulfate polymyxin B is indicated in the inflammatory ocular conditions that respond to steroids and where there is bacterial infection or risk of infection. Ocular steroids are indicated in the inflammatory conditions of the eyelids and bulbar conjunctiva, cornea and anterior segment of the globe, where the risk inherent to the use of steroids in certain infected conjunctivitis is accepted in order to obtain decreased edema and Inflammation. They are Also indicated in chronic anterior uvete and corneal traumas caused by chemical burns, by radiation or thermal, and also in cases of foreign body penetration. The use of combination with antiinfective is indicated where the risk of infection is large or when it is suspected that a number of potentially dangerous bacteria is present in the eye. The dexamethasone sulfate of neomycin sulfate polymyxin B is active against Staphylococcus aureus, Escherichia coli, Haemophilus influenzae, Klebsiella/Enterobacter sp, Neisseria sp and Pseudomonas aeruginosa. This product does not give adequate coverage against Serratia Marcescens and Streptococci, including Streptococcus pneumoniae.|S|S01|S01C|S01C1
bula8157|Repaglinida é um hipoglicemiante oral, indicado para pacientes adultos com diabetes mellitus tipo 2, quando a dieta, redução de peso e exercícios físicos não forem suficientes para controlar ou diminuir os níveis de glicose no sangue. A repaglinida também pode ser administrada em combinação com metformina.|Repaglinide is an oral hypoglycaemic, indicated for adult patients with type 2 diabetes mellitus, when diet, weight reduction and physical exercise are not sufficient to control or decrease blood glucose levels. Repaglinide can also be administered in combination with metformin.|A|A10|A10M|A10M1
bula1759|Bambairr é indicado para o tratamento da asma brônquica. Bambairr é indicado para bronquite crônica, enfisema e outras pneumopatias nas quais o broncoespasmo é um fator complicante.|Bambairr is indicated for the treatment of bronchial asthma. BAMBAIRR is indicated for chronic bronchitis, emphysema and other pneumopathies in which bronchospasm is a complicating factor.|R|R03|R03A|R03A2
bula609|Tenoxicam está indicado para o tratamento inicial das seguintes doenças inflamatórias e degenerativas, dolorosas do sistema musculoesquelético - artrite reumatoide - artrose - espondilite anquilosante - afecções extra-articulares, como por exemplo, tendinite sem outra especificação, bursite, periartrite dos ombros síndrome ombro-mão, ou dos quadris distensões ligamentares e entorses - gota aguda - dor pós-operatória.|Tenoxicam is indicated for the initial treatment of the following inflammatory and degenerative diseases, painful from the musculoskeletal system-rheumatoid arthritis-arthrosis-ankylosing spondylitis-anti-extra-articular affections, for example, Tendinitis without other specification, bursitis, periarthritis of the shoulders shoulder-hand syndrome, or hips ligamentary distensions and acute sprains-gout-postoperative pain.|M|M01|M01A|M01A1
bula1836|Hipertensão captopril é indicado para o tratamento da hipertensão, por reduzir a pressão arterial nesses casos.  Insuficiência Cardíaca captopril é indicado no tratamento da insuficiência cardíaca congestiva em associação com diuréticos e digitálicos. O efeito benéfico de captopril na insuficiência cardíaca não requer a presença de digitálicos.  Infarto do Miocárdio o captopril é indicado como terapia pós-infarto do miocárdio em pacientes clinicamente estáveis com disfunção ventricular esquerda assintomática ou sintomática para melhorar a sobrevida, protelar o início da insuficiência cardíaca sintomática, reduzir internações por insuficiência cardíaca e diminuir a incidência de infarto do miocárdio recorrente e as condutas de revascularização coronariana.  Nefropatia Diabética o captopril é indicado para o tratamento de nefropatia diabética proteinúria 500 mg/dia em pacientes com diabetes mellitus insulinodependentes. Nestes pacientes, o captopril previne a progressão da doença renal e reduz sequelas clínicas associadas diálise, transplante renal e morte.|Hypertension Captopril is indicated for the treatment of hypertension, because it reduces blood pressure in these cases.  Heart Failure Captopril is indicated for the treatment of congestive heart failure in association with diuretics and digitalis. The beneficial effect of captopril on heart failure does not require the presence of digitalis.  Myocardial Infarction Captopril is indicated as post-myocardial infarction therapy in clinically stable patients with asymptomatic or symptomatic left ventricular dysfunction to improve survival, delay the onset of heart failure Symptomatic, reduce hospitalizations due to heart failure and decrease the incidence of recurrent myocardial infarction and coronary artery bypass grafting.  Diabetic Nephropathy Captopril is indicated for the treatment of proteinuria diabetic nephropathy 500 mg/day in patients with insulin-dependent diabetes mellitus. In These patients, captopril prevents the progression of renal disease and reduces clinical sequelae associated with dialysis, kidney transplantation and death.|C|C09|C09A|C09A0
bula675|Este medicamento deve ser usado para o tratamento dos seguintes tipos de micose - Tinha dos pés plantar e interdigital - Tinha crural - Outras dermatofitoses tinha do corpo e tinha das mãos - Pitiríase versicolor - Candidíase cutânea - Micoses do conduto auricular externo desde que a membrana timpânica esteja íntegra.|This medicine should be used for the treatment of the following types of Mycosis-Had plantar and interdigital feet-had crural-Other dermatophytosis had of the body and had of the hands-Pityriasis versicolor-cutaneous Candidiasis-ear canal Mycoses If the tympanic membrane is intact.|D|D01|D01A|D01A1
bula2143|Efurixr é indicado para o tratamento de ceratose actínica solar ou senil, doença de Bowen, epiteliomas basocelulares superficiais simples ou múltiplos, lesões pré-malignas, epiteliomas basocelulares superficiais em áreas de radiodermite crônica e no tratamento das manifestações clínicas da infecção causada pelo HPV papillomavírus humano.|EFURIXR is indicated for the treatment of solar or senile Actinic keratosis, Bowen's disease, simple or multiple superficial basal cell epitheliomas, pre-malignant lesions, superficial basal cell epitheliomas in areas of chronic radiodermatitis and Treatment of the clinical manifestations of infection caused by human papillomavirus HPV.|L|L01|L01B|L01B0
bula667|Este medicamento é destinado ao tratamento de uma variedade de condições que requeiram atividade antiinflamatória, analgésica e antipirética.|This Medicine is intended for the treatment of a variety of conditions that require anti-inflammatory, analgesic and antipyretic activity.|M|M01|M01A|M01A1
bula5590|Efavirenz é indicado para o tratamento antiviral combinado de adultos, adolescentes e crianças infectados pelo HIV-1.|Efavirenz is indicated for the combined antiviral treatment of HIV-1-infected adults, adolescents and children.|J|J05|J05C|J05C3
bula3916|BISOLVON é indicado como secretolítico e expectorante no tratamento de doenças broncopulmonares agudas e crônicas associadas à secreção mucosa anormal e transtornos do transporte mucoso.|BISOLVON is indicated as secretolytic and expectorant in the treatment of acute and chronic bronchopulmonary diseases associated with abnormal mucosal secretion and disorders of mucosal transport.|R|R05|R05C|R05C0
bula2928|Twinrixr é indicada para uso em adultos, adolescentes e crianças não-imunes a partir de 1 ano de idade, em risco de contrair infecção pelos vírus da hepatite A e da hepatite B.|TWINRIXR is indicated for use in adults, adolescents and non-immune children from 1 year of age, at risk of infection by hepatitis A and hepatitis B viruses.|J|J07|J07E|J07E4
bula5706|Furoato de mometasona é indicado para o alívio das manifestações inflamatórias e pruriginosas das dermatoses sensíveis aos corticosteroides como psoríase, dermatite atópica e ou dermatite alérgica de contato.|Mometasone Furoate is indicated for the relief of inflammatory and pruriginous manifestations of corticosteroid-sensitive dermatoses such as psoriasis, atopic dermatitis and or allergic contact dermatitis.|D|D07|D07A|D07A0
bula2700|Este medicamento é destinado ao tratamento de dores moderadas a severas de caráter agudo, subagudo e crônico.|This Medicine is intended for the treatment of moderate to severe pain of acute, subacute and chronic character.|N|N02|N02A|N02A0
bula6732|Clobesolr creme dermatológico é um corticosteroide muito potente indicado para adultos, idosos e crianças a partir de 1 ano de idade para o alívio das manifestações inflamatórias e pruriginosas de dermatites responsivas a esteroides. Estas incluem o tratamento tópico da psoríase excluindo-se a forma disseminada da doença, eczemas recalcitrantes, líquen plano, lúpus eritematoso discoide e outras dermatites que não respondam satisfatoriamente a esteroides menos potentes.|CLOBESOLR Dermatological Cream is a very potent corticosteroid indicated for adults, elderly and children from 1 year of age to relieve the inflammatory and pruriginous manifestations of steroid-responsive dermatitis. These include topical treatment of psoriasis excluding the disseminated form of the disease, recalcitrant eczema, lichen planus, discoid lupus erythematosus and other dermatitis that do not satisfactorily respond to less potent steroids.|D|D07|D07A|D07A0
bula6068|Neo Mistatin creme é indicado para o tratamento de candidíase vaginal1 monilíase. 1 CID B37.3 - Candidíase da vulva e da vagin.|Neo Mistatin Cream is indicated for the treatment of Candidiasis Vaginal1 moniliasis. 1 ICD B 37.3-Candidiasis of the vulva and of the vagina.|G|G01|G01B|G01B0
bula2522|Natifa Pror é usado na Terapia de Reposição Hormonal TRH para os sintomas da deficiência de estrogênio em mulheres na pós-menopausa, com mais de um ano desde a última menstruação. Também é usado na prevenção da osteoporose em mulheres na pós-menopausa, sob alto risco de fraturas futuras, que apresentam intolerância ou para as quais são contraindicados outros medicamentos aprovados para a prevenção da osteoporose. A experiência de tratamento em mulheres, com mais de 65 sessenta e cinco anos é limitada.|Natifa Deter is used in HRT Hormone Replacement Therapy for the symptoms of estrogen deficiency in postmenopausal women, with more than one year since the last menstruation. It is Also used in the prevention of osteoporosis in postmenopausal women, at high risk of future fractures, which present intolerance or for which other medications approved for the prevention of osteoporosis are contraindicated. The experience of treatment in women over 65 65 years is limited.|G|G03|G03F|G03F0
bula5022|VESICAREr é indicado para o alívio dos sintomas de frequência urinária, incontinência urinária ou urgência associados com uma bexiga hiperativa.|VESICAREr is indicated for the relief of urinary frequency symptoms, urinary incontinence or urgency associated with an overactive bladder.|G|G04|G04B|G04B9
bula6690|Epilepsia - Crises parciais complexas ou simples com ou sem perda da consciência com ou sem generalização secundária. - Crises tônico-clônicas generalizadas. Formas mistas dessas crises. A carbamazepina é adequado para monoterapia e terapia combinada. A carbamazepina geralmente não é eficaz em crises de ausência e em crises mioclônicas veja Advertências e precauções. Mania aguda e tratamento de manutenção em distúrbios afetivos bipolares para prevenir ou atenuar recorrências. Síndrome de abstinência alcoólica. Neuralgia idiopática do trigêmeo e neuralgia trigeminal em decorrência de esclerose múltipla típica ou atípica. Neuralgia glossofaríngea idiopática. Neuropatia diabética dolorosa. Diabetes insípida central. Poliúria e polidipsia de origem neuro-hormonal.|Epilepsy-complex or simple partial Seizures with or without loss of consciousness with or without secondary generalization. -Generalized tonic-clonic Crises. Mixed Forms of these crises. Carbamazepine is suitable for monotherapy and combined therapy. Carbamazepine is generally not effective in crises of absence and in Myclonic crises see Warnings and precautions. Acute Mania and maintenance treatment in bipolar affective disorders to prevent or mitigate recurrences. Alcohol withdrawal Syndrome. Idiopathic trigeminal Neuralgia and Neuralgia as a result of typical or atypical multiple sclerosis. Idiopathic glossopharyngeal Neuralgia. Painful diabetic Neuropathy. Central Diabetes insipid. Polyuria and Polydipsia of neuro-hormonal origin.|N|N03|N03A|N03A0
bula5379|O cloridrato de fluoxetina é indicado para o tratamento da depressão, associada ou não a ansiedade, da bulimia nervosa, do transtorno obsessivo-compulsivo TOC e do transtorno disfórico pré-menstrual TDPM, incluindo tensão pré-menstrual TPM, irritabilidade e disforia. A eficácia de cloridrato de fluoxetina durante o uso no longo prazo mais de 13 semanas no tratamento do transtorno obsessivo-compulsivo e mais de 16 semanas no tratamento da bulimia nervosa não foi sistematicamente avaliada em estudos controlados com placebo. Portanto, o médico deve reavaliar periodicamente o uso de cloridrato de fluoxetina em tratamentos no longo prazo.|Fluoxetine hydrochloride is indicated for the treatment of depression, associated or not with anxiety, bulimia nervosa, OCD obsessive-compulsive disorder and premenstrual dysphoric disorder TDPM, including pre-menstrual tension PMS, irritability and Dysphoria. The efficacy of fluoxetine hydrochloride during long-term use more than 13 weeks in the treatment of obsessive-compulsive disorder and more than 16 weeks in the treatment of bulimia nervosa has not been systematically evaluated in placebo-controlled studies. Therefore, the physician should periodically re-evaluate the use of fluoxetine hydrochloride in long-term treatments.|N|N06|N06A|N06A4
bula722|Promirar é indicado para o tratamento de adultos com idade igual ou acima de 18 anos com  infecções das vias respiratórias superiores e inferiores - exacerbações agudas de bronquite crônica - pneumonia adquirida na comunidade PAC incluindo PAC causada por cepas multirresistentes - sinusite aguda.  infecções não complicadas de pele e tecidos moles  doença inflamatória pélvica não complicada isto é, doenças do trato genital superior feminino, inclusive salpingite e endometrite  infecções complicadas de pele e anexos incluindo infecções do pé diabético  infecções intra-abdominais complicadas, incluindo infecções polimicrobianas, como abscessos.  Streptococcus pneumoniae multirresistentes, incluindo isolados conhecidos como S. pneumoniae resistente a penicilina e cepas resistentes a dois ou mais dos seguintes antibióticos penicilina CIM  2 g/ml, cefalosporinas de 2 geração por exemplo, cefuroxima, macrolídeos, tetraciclinas e trimetoprima/sulfametoxazol. Devem-se considerar as recomendações relacionadas ao uso apropriado de agentes antibióticos.|Promirar is indicated for the treatment of adults aged 18 years or older with upper and lower airway infections-acute exacerbations of chronic bronchitis-acquired pneumonia in the PAC community including PAC caused by strains Multidrug-resistant-acute sinusitis.  Uncomplicated infections of skin and soft tissues pelvic inflammatory disease not complicated that is, diseases of the female upper genital tract, including salpingitis and endometriosis complicated skin infections and attachments including diabetic foot infections  Complicated intra-abdominal infections, including polymicrobial infections such as abscesses.  Multidrug-resistant Streptococcus pneumoniae, including isolates known as penicillin-resistant S. pneumoniae and strains resistant to two or more of the following antibiotics penicillin CIM 2 g/ml, 2-generation cephalosporins For example, Cefuroxime, Macrolides, tetracyclines and Trimethoprim/sulfamethoxazole. Recommendations related to the appropriate use of antibiotic agents Should be considered.|J|J01|J01G|J01G1
bula1983|O cloridrato de oximetazolina está indicado para o alívio sintomático da congestão nasal e nasofaríngea decorrentes do resfriado comum, sinusite, febre ou outras alergias das vias aéreas superiores.|Oxymethazoline hydrochloride is indicated for the symptomatic relief of nasal and nasopharyngeal congestion resulting from the common cold, sinusitis, fever or other upper airway allergies.|R|R01|R01A|R01A7
bula5446|Colpist MT creme vaginal está indicado ao tratamento dos corrimentos genitais sendo os principais a vaginose bacteriana, candidíase vaginal e tricomoníase. Apresenta em sua formulação uma associação de agentes específicos de ampla e comprovada eficácia contra infecções genitais provocadas por diversos agentes etiológicos como Gardnerella vaginalis, Candida albicans e Trichomonas vaginalis, entre outras bactérias inespecíficas, causadoras de vulvovaginites, colpites e cervicites.|Colpist MT Vaginal Cream is indicated for the treatment of genital discharge and the main ones are bacterial vaginosis, vaginal candidiasis and trichomoniasis. It Presents in its formulation an association of specific agents of broad and proven efficacy against genital infections caused by various etiological agents such as Gardnerella vaginalis, Candida albicans and Trichomonas vaginalis, among other nonspecific bacteria causing vulvovaginitis, vaginitis and Cervicites.|G|G01|G01A|G01A2
bula912|Tratamento local de inflamações de origem traumática dos tendões, ligamentos, músculos e articulações, como por exemplo as causadas por entorses, luxações e contusões.|Local Treatment of inflamation of traumatic origin of tendons, ligaments, muscles and joints, such as those caused by sprains, dislocations and bruises.|M|M01|M01A|M01A1
bula4110|Cloridrato de oximetazolina adulto e pediátrico solução nasal estão indicados para o alívio sintomático da congestão nasal e nasofaríngea decorrentes do resfriado comum, sinusite, febre ou outras alergias das vias aéreas superiores.|Adult and pediatric Oxymethazoline Hydrochloride Nasal solution are indicated for the symptomatic relief of nasal and nasopharyngeal congestion arising from the common cold, sinusitis, fever or other upper airway allergies.|R|R01|R01A|R01A7
bula7450|O BOZOREDr é indicado para o tratamento de pacientes com mieloma múltiplo - que não receberam tratamento prévio e impossibilitados de receberem tratamento com alta dose de quimioterapia e transplante de medula óssea. Nesses pacientes, o BOZOREDr é utilizado em combinação com melfalana e prednisona. - que não receberam tratamento prévio e que são elegíveis a receberem tratamento de indução com alta dose de quimioterapia com transplante de células-tronco hematopoiéticas. Nesses pacientes, o BOZOREDr é utilizado em combinação com dexametasona, ou com dexametasona e talidomida. - que receberam pelo menos um tratamento anterior. -o retratamento com BOZOREDr pode ser considerado para pacientes com mieloma múltiplo que haviam respondido previamente ao tratamento com BOZOREDr. O período mínimo entre o tratamento anterior e o início do retratamento é de 6 meses.|BOZOREDr is indicated for the treatment of patients with multiple myeloma-who have not received prior treatment and are unable to receive treatment with a high dose of chemotherapy and bone marrow transplantation. In These patients, BOZOREDr is used in combination with Melphana and prednisone. -who have not received prior treatment and who are eligible to receive induction treatment with high dose chemotherapy with hematopoietic stem cell transplantation. In These patients, BOZOREDr is used in combination with dexamethasone, or with dexamethasone and thalidomide. -who received at least one previous treatment. -Retreatment with BOZOREDr may be considered for patients with multiple myeloma who had previously responded to treatment with BOZOREDr. The minimum period between the previous treatment and the initiation of retreatment is 6 months.|L|L01|L01J|L01J0
bula3225|Clotrenr é indicado para o tratamento de dermatomicoses causadas por dermatófitos, leveduras, bolores, etc. por ex. Tinea pedis, Tinea manuum, Tinea corporis, Tinea inguinalis, Pityriasis versicolor. Adicionalmente Clotrenr é indicado para o tratamento de infecções dos genitais externos e áreas adjacentes na mulher, assim como inflamação da glande e prepúcio do parceiro sexual causada por leveduras vulvite e balanite por Candida. 2.|Clotrenr is indicated for the treatment of dermatomycoses caused by dermatophytes, yeasts, molds, etc. e.g. Tinea pedis, tinea manuum, tinea corporis, tinea inguinalis, Pityriasis versicolor. Additionally Clotrenr is indicated for the treatment of infections of the external genitals and adjacent areas in the woman, as well as inflammation of the glans and foreskin of the sexual partner caused by Vulvitis yeasts and balanitis by Candida. 2.|D|D01|D01A|D01A1
bula7860|Histamin é indicado para alergia, prurido, rinite alérgica, urticária, picada de inseto, conjuntivite alérgica, dermatite atópica e eczemas alérgicos.|Histamin is indicated for allergy, pruritus, allergic rhinitis, urticaria, insect bites, allergic conjunctivitis, atopic dermatitis and allergic eczema.|R|R06|R06A|R06A0
bula161|A aminofilina está indicada para o alívio sintomático da asma brônquica aguda e para o tratamento do broncoespasmo reversível associado com bronquite crônica e enfisema.|Aminophylline is indicated for the symptomatic relief of acute bronchial asthma and for the treatment of reversible bronchospasm associated with chronic bronchitis and emphysema.|R|R03|R03B|R03B2
bula4403|Epilepsia A gabapentina é indicada como monoterapia no tratamento de crises parciais com ou sem generalização secundária, em adultos e em crianças a partir de 12 anos de idade. A segurança e eficácia da monoterapia em crianças menores de 12 anos de idade não foram estabelecidas vide item 8 - Posologia e Modo de Usar - Pacientes Adultos e Pediátricos a partir de 12 anos de Idade. A gabapentina também é indicada como terapêutica adjuvante no tratamento de crises parciais com ou sem generalização secundária em adultos e em crianças a partir de 12 anos de idade. Dor Neuropática A gabapentina é indicada para o tratamento da dor neuropática em adultos a partir de 18 anos de idade. A segurança e eficácia em pacientes com menos de 18 anos não foi estabelecida.|Epilepsy A Gabapentin is indicated as monotherapy in the treatment of partial seizures with or without secondary generalization, in adults and in children from 12 years of age. The safety and efficacy of monotherapy in children under 12 years of age have not been established, see item 8-Posology and Mode of Use-Adult and Pediatric Patients from 12 years of Age. The Gabapentin It is also indicated as adjuvant therapy in the treatment of partial seizures with or without secondary generalization in adults and children from 12 years of age. Neuropathic Pain A Gabapentin is indicated for the treatment of neuropathic pain in adults from 18 years of age. Safety and efficacy in patients under 18 years has not been established.|N|N03|N03A|N03A0
bula4402|Epilepsia A gabapentina é indicada como monoterapia no tratamento de crises parciais com ou sem generalização secundária, em adultos e em crianças a partir de 12 anos de idade. A segurança e eficácia da monoterapia em crianças com menos de 12 anos de idade não foram estabelecidas vide item 8 - Posologia e Modo de Usar - Pacientes adultos e pediátricos a partir de 12 anos de idade. A gabapentina também é indicada como terapêutica adjuvante no tratamento de crises parciais com ou sem generalização secundária em adultos e em crianças a partir de 12 anos de idade. Dor Neuropática A gabapentina é indicada para o tratamento da dor neuropática em adultos a partir de 18 anos de idade. A segurança e eficácia em pacientes com menos de 18 anos não foi estabelecida.|Epilepsy A Gabapentin is indicated as monotherapy in the treatment of partial seizures with or without secondary generalization, in adults and in children from 12 years of age. The safety and efficacy of monotherapy in children under 12 years of age have not been established, see item 8-Posology and Mode of Use-adult and pediatric Patients from 12 years of age. The Gabapentin It is also indicated as adjuvant therapy in the treatment of partial seizures with or without secondary generalization in adults and children from 12 years of age. Neuropathic Pain A Gabapentin is indicated for the treatment of neuropathic pain in adults from 18 years of age. Safety and efficacy in patients under 18 years has not been established.|N|N03|N03A|N03A0
bula2748|Este medicamento é indicado para o tratamento tópico de dermatoses do couro cabeludo, tais como psoríase e eczemas recalcitrantes.|This medicine is indicated for topical treatment of scalp dermatoses such as psoriasis and recalcitrant eczema.|D|D07|D07A|D07A0
bula6475|Ultidin é indicado no tratamento de úlcera duodenal e úlcera gástrica benigna, incluindo aquelas associadas a agentes antiinflamatórios não esteroidais. Também é usado na prevenção de úlceras duodenais associadas a agentes anti-inflamatórios não esteroidais, incluindo ácido acetilsalicílico, especialmente em pacientes com história de doença ulcerosa péptica, úlcera duodenal relacionada à infecção por H. pylori, úlcera pós-operatória, esofagite de refluxo, alívio dos sintomas de refluxo gastroesofágico, Síndrome de Zollinger-Ellison e dispepsia episódica crônica, caracterizada por dor epigástrica ou retroesternal que está associada às refeições ou distúrbios do sono, mas não associada às condições citadas anteriormente. Ultidin é indicado, ainda, nas situações em que é desejável a redução da produção de ácido profilaxia da úlcera de estresse em pacientes gravemente enfermos, profilaxia da hemorragia recorrente em pacientes com úlcera péptica e prevenção da síndrome de aspiração ácida Síndrome de Mendelson.|Ultidin is indicated for the treatment of duodenal ulcer and benign gastric ulcer, including those associated with non-steroidal anti-inflammatory agents. It is Also used in the prevention of duodenal ulcers associated with non-steroidal anti-inflammatory agents, including acetylsalicylic acid, especially in patients with a history of peptic ulcerative disease, duodenal ulcer related to H infection. pylori, postoperative ulcer, reflux esophagitis, relief of symptoms of gastroesophageal reflux, Zollinger-Ellison Syndrome and chronic episodic dyspepsia, characterized by epigastric or retrosternal pain that is associated with meals or Sleep disorders, but not associated with the aforementioned conditions. Ultidin is also indicated in situations where it is desirable to reduce the production of acid prophylaxis of stress ulcer in critically ill patients, prophylaxis of recurrent hemorrhage in patients with peptic ulcer and prevention of aspiration syndrome Acid Mendelson Syndrome.|A|A02|A02B|A02B1
bula2930|Este medicamento é indicado, em adultos, para a redução da febre e o alívio temporário de dores leves a moderadas, tais como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e dismenorréia. Em bebês e crianças é indicado para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como dores associadas a gripes e resfriados comuns, dor de cabeça, dor de dente, dor de garganta.|This medicine is indicated, in adults, for the reduction of fever and the temporary relief of mild to moderate pain, such as pain associated with common coladas, headache, body pain, toothache, back pain, muscular pain, mild pain associated with Arthritis and dysmenorrhea. In Infants and children It is indicated for the reduction of fever and for the temporary relief of mild to moderate pain, such as pains associated with common flu and colds, headache, toothache, sore throat.|N|N02|N02B|N02B2
